0,2015,2014,2016
净利润,-2438.22万,2.26亿,-3.06亿
同比(%),-110.79,-,-1155.01
资产总计,111.44亿,133.54亿,-
同比(%),-16.55,-,-
负债总计,102.68亿,121.23亿,-
所有者权益总计,8.76亿,12.31亿,2.92亿
同比(%),-28.84,-,-66.67
资产负债率(%),92.14,90.78,-
