0,2019,2018
营业总收入,58.42亿,31.49亿
同比(%),85.54,-
利润总额,9.69亿,946.78万
净利润,8.39亿,2966.36万
同比(%),2728.25,-
资产总计,247.39亿,352.41亿
同比(%),-29.8,-
负债总计,235.11亿,351.91亿
所有者权益总计,12.28亿,5069.55万
同比(%),2322.95,-
经营活动产生的现金流量净额,10.22亿,-1.69亿
基本每股收益(元),2.17,-
稀释每股收益(元),2.17,-
每股净资产(元),2.86,-0.73
每股经营现金流(元),4.86,-0.81
加权净资产收益率(%),204.60,-
毛利率(%),28.02,24.75
净利率(%),14.36,0.94
资产负债率(%),95.03,99.86
流动比率,1.01,1.02
速动比率,0.71,0.61
