0,2019,2018
营业总收入,10.25亿,3.14亿
净利润,10.74亿,15.12亿
资产总计,217.82亿,169.33亿
负债总计,147.20亿,109.43亿
所有者权益总计,70.62亿,59.90亿
加权净资产收益率(%),15.21,25.25
净利率(%),104.77,480.92
资产负债率(%),67.58,64.63
