0,2023,2020,2018
营业总收入,-,557.70亿,387.05亿
利润总额,-59.33亿,-,-
净利润,-66.00亿,52.78亿,32.94亿
资产总计,2561.91亿,3098.99亿,2290.28亿
负债总计,2325.22亿,-,1926.89亿
所有者权益总计,236.69亿,-,363.39亿
经营活动产生的现金流量净额,-8.20亿,-,-
加权净资产收益率(%),-768.65,-,9.07
净利率(%),-,9.46,8.51
资产负债率(%),90.76,-,84.13
流动比率,0.95,-,-
速动比率,0.95,-,-
