0,2018,2017,2016,2015,2014
营业总收入,-,65.12亿,-,-,-
净利润,-,1.17亿,1.85亿,1.25亿,9046.00万
同比(%),-,-,47.8,38.54,-
资产总计,38.18亿,-,-,-,-
负债总计,26.71亿,-,-,-,-
资产负债率(%),69.96,-,-,-,-
