0,2015,2014
营业总收入,1.12亿,1.96亿
同比(%),-,29.79
利润总额,1672.45万,1246.13万
净利润,1070.36万,786.56万
同比(%),-,3281.98
资产总计,1.41亿,1.36亿
同比(%),-,19.02
负债总计,1.37亿,1.43亿
所有者权益总计,352.56万,-717.80万
同比(%),-,52.29
经营活动产生的现金流量净额,-360.17万,-209.75万
每股净资产(元),0.58,-1.45
每股经营现金流(元),-0.72,-0.42
加权净资产收益率(%),370.97,-
毛利率(%),37.99,26.47
净利率(%),9.52,4.01
资产负债率(%),97.49,105.27
流动比率,0.99,0.92
速动比率,0.99,0.91
