0,2019,2018
营业总收入,54.76亿,52.69亿
同比(%),3.93,-
利润总额,8.45亿,8.36亿
净利润,5.74亿,5.65亿
同比(%),1.58,-
资产总计,336.37亿,248.54亿
同比(%),35.34,-
负债总计,300.81亿,220.49亿
所有者权益总计,35.55亿,28.05亿
同比(%),26.75,-
经营活动产生的现金流量净额,4.46亿,-
每股净资产(元),5.84,-
每股经营现金流(元),0.87,-
加权净资产收益率(%),14.58,20.16
毛利率(%),29.96,-
净利率(%),10.49,10.73
资产负债率(%),89.43,88.71
流动比率,1.14,-
速动比率,0.28,-
