0,2014
营业总收入,191.46万
利润总额,-1788.48万
净利润,-1788.48万
资产总计,2.59亿
负债总计,1.86亿
所有者权益总计,7360.02万
加权净资产收益率(%),-24.30
净利率(%),-934.13
资产负债率(%),71.64
