0,2019,2018
营业总收入,3.88亿,3.62亿
同比(%),7.1,-
利润总额,5793.22万,8948.77万
净利润,4921.35万,7637.94万
同比(%),-35.57,-
资产总计,10.88亿,10.39亿
同比(%),4.65,-
负债总计,8.25亿,8.23亿
所有者权益总计,2.62亿,2.16亿
同比(%),21.2,-
经营活动产生的现金流量净额,6733.28万,1.27亿
每股净资产(元),52.46,43.29
每股经营现金流(元),13.47,25.36
加权净资产收益率(%),20.56,35.29
毛利率(%),30.07,38.06
净利率(%),12.70,21.10
资产负债率(%),75.88,79.17
流动比率,1.23,1.14
速动比率,1.23,1.13
