0,2020,2019
营业总收入,2.77亿,1.66亿
同比(%),66.84,-
利润总额,5815.97万,998.62万
净利润,4467.24万,700.89万
同比(%),537.37,-
资产总计,5.89亿,5.43亿
同比(%),8.43,-
负债总计,5.18亿,5.17亿
所有者权益总计,7130.07万,2652.36万
同比(%),168.82,-
经营活动产生的现金流量净额,7606.19万,-4.01亿
基本每股收益(元),-,0.35
稀释每股收益(元),-,0.35
每股净资产(元),3.56,1.33
每股经营现金流(元),3.80,-20.07
加权净资产收益率(%),91.33,26.43
毛利率(%),29.51,14.08
净利率(%),16.11,4.22
资产负债率(%),87.90,95.12
流动比率,3.93,5.26
速动比率,3.93,5.26
