0,2015,2014
营业总收入,1.06亿,8673.59万
同比(%),22.21,83.15
利润总额,2148.05万,1081.89万
净利润,1612.26万,809.98万
同比(%),99.05,-1.93
资产总计,2.44亿,2.67亿
同比(%),-8.61,164.36
负债总计,1.46亿,1.86亿
所有者权益总计,9767.69万,8155.43万
同比(%),19.77,11.03
经营活动产生的现金流量净额,5908.89万,-1.03亿
每股净资产(元),3.26,2.72
每股经营现金流(元),1.97,-3.44
加权净资产收益率(%),16.51,9.93
毛利率(%),35.22,41.36
净利率(%),15.21,9.34
资产负债率(%),59.90,69.46
流动比率,3.10,2.87
速动比率,3.10,2.87
