0,2016
营业总收入,2.04亿
利润总额,-8479.90万
净利润,-8479.90万
资产总计,252.74亿
负债总计,229.16亿
所有者权益总计,23.58亿
经营活动产生的现金流量净额,-2033.77万
每股净资产(元),1.54
每股经营现金流(元),-0.01
加权净资产收益率(%),-3.60
毛利率(%),29.47
净利率(%),-41.51
资产负债率(%),90.67
流动比率,1.22
速动比率,1.08
