0,2019,2018
营业总收入,1.32亿,1.29亿
同比(%),2.51,-
利润总额,-481.74万,-452.06万
净利润,-258.72万,-376.49万
同比(%),31.28,-
资产总计,3.07亿,3.42亿
同比(%),-10.14,-
负债总计,2.86亿,3.18亿
所有者权益总计,2084.92万,2343.64万
同比(%),-11.04,-
经营活动产生的现金流量净额,2895.59万,4246.47万
每股净资产(元),2.08,2.34
每股经营现金流(元),2.90,4.25
加权净资产收益率(%),-11.68,-16.06
毛利率(%),17.70,17.77
净利率(%),-1.96,-2.92
资产负债率(%),93.21,93.14
流动比率,2.61,2.96
速动比率,2.61,2.96
