0,2016,2015
营业总收入,14.10亿,34.84亿
净利润,2.24亿,5.13亿
资产总计,105.27亿,112.41亿
负债总计,59.84亿,69.21亿
所有者权益总计,45.43亿,43.20亿
加权净资产收益率(%),4.92,11.87
净利率(%),15.87,14.72
资产负债率(%),56.84,61.57
