0,2015,2014
营业总收入,4179.96万,-
利润总额,-2195.69万,-2686.74万
净利润,-2195.69万,-2686.74万
同比(%),-,59.66
资产总计,26.14亿,23.25亿
同比(%),-,41.34
负债总计,10.81亿,9.24亿
所有者权益总计,15.33亿,14.00亿
同比(%),-,18.54
经营活动产生的现金流量净额,-1.79亿,-5.68亿
每股净资产(元),0.93,0.93
每股经营现金流(元),-0.11,-0.38
加权净资产收益率(%),-1.43,-1.92
毛利率(%),-7.65,-
净利率(%),-52.53,-
资产负债率(%),41.37,39.76
流动比率,2.71,10.10
速动比率,0.15,0.40
