0,2020,2019
营业总收入,4.17亿,3.84亿
同比(%),8.56,-
利润总额,4332.79万,3200.64万
净利润,3183.62万,2474.43万
同比(%),28.66,-
资产总计,8.07亿,8.74亿
同比(%),-7.59,-
负债总计,7.00亿,7.98亿
所有者权益总计,1.08亿,7572.96万
同比(%),42.09,-
经营活动产生的现金流量净额,2.04亿,-5.99亿
每股净资产(元),21.09,14.40
每股经营现金流(元),40.73,-119.82
加权净资产收益率(%),35.88,34.36
毛利率(%),11.56,12.18
净利率(%),7.64,6.45
资产负债率(%),86.67,91.33
流动比率,3.55,4.71
速动比率,3.48,4.63
