0,2017,2016
营业总收入,0.00,0.00
利润总额,-2149.46万,-46.56万
净利润,-2149.46万,-46.56万
同比(%),-4516.45,-
资产总计,15.35亿,5.70亿
同比(%),169.23,-
负债总计,15.36亿,5.50亿
所有者权益总计,-196.02万,1953.44万
同比(%),-110.03,-
经营活动产生的现金流量净额,4.93亿,-5.68亿
每股净资产(元),-0.10,0.98
每股经营现金流(元),24.64,-28.39
加权净资产收益率(%),-244.62,-2.38
资产负债率(%),100.13,96.57
流动比率,1.28,1.04
速动比率,0.26,0.29
