0,2020,2019
营业总收入,565.65万,2.71亿
同比(%),-97.91,-
利润总额,-1.19万,6461.30万
净利润,-20.05万,5465.38万
同比(%),-100.37,-
资产总计,5.07亿,6.09亿
同比(%),-16.71,-
负债总计,3.87亿,4.88亿
所有者权益总计,1.21亿,1.21亿
同比(%),-0.17,-
经营活动产生的现金流量净额,-242.44万,-2.79亿
每股净资产(元),2.01,2.02
每股经营现金流(元),-0.04,-4.66
加权净资产收益率(%),-0.17,45.14
毛利率(%),33.68,27.20
净利率(%),-3.55,20.15
资产负债率(%),76.18,80.13
流动比率,-147.10,6.06
速动比率,-135.13,5.70
